10 1819 1.2
20 3685 1.15
30 5384 1.0333333333333334
40 6967 0.95
50 8756 0.96
60 10666 1.0
70 12305 0.9714285714285714
80 13927 0.9375
90 15502 0.8888888888888888
100 17256 0.91
110 18879 0.85
120 20559 0.83
130 22494 0.89
140 24186 0.91
150 25652 0.84
160 27547 0.84
170 29237 0.83
180 31045 0.86
190 32647 0.88
200 34550 0.91
210 36289 0.95
220 38065 0.96
230 39849 0.93
240 41537 0.92
250 43196 0.98
260 45187 1.03
270 46983 1.06
280 48792 1.07
10 1776 1.1
20 3738 1.4
30 5506 1.3666666666666667
40 7087 1.2
50 8804 1.16
60 10597 1.15
70 12384 1.1285714285714286
80 14026 1.0875
90 16087 1.211111111111111
100 17741 1.16
110 19645 1.19
120 21287 1.09
130 23312 1.12
140 25034 1.15
150 26604 1.12
160 28374 1.12
170 30043 1.1
180 31741 1.11
190 33157 0.91
200 34814 0.92
210 36365 0.83
220 38042 0.84
230 39951 0.81
240 41752 0.83
250 43631 0.9
260 45610 0.95
270 47524 1.02
280 49244 1.04
290 51139 1.16
300 53068 1.23
310 54899 1.29
10 1682 0.8
20 3183 0.65
30 4868 0.7
40 6555 0.75
50 8188 0.76
60 9867 0.7833333333333333
70 11582 0.8142857142857143
80 13236 0.825
90 15033 0.8666666666666667
100 16840 0.9
110 18715 0.94
120 20330 0.96
130 22063 0.98
140 23810 1.0
150 25480 1.0
160 27111 0.99
170 28951 1.02
180 30619 1.01
190 32308 0.98
200 34485 1.04
210 36109 0.98
220 37794 1.0
230 39656 1.05
240 41416 1.06
250 42953 1.04
260 44857 1.09
270 46783 1.1
280 48550 1.13
290 50303 1.14
300 52021 1.05
310 53916 1.13
320 55628 1.12
330 57250 1.04
340 59193 1.06
350 61345 1.19
360 63093 1.15
370 64990 1.16
380 66793 1.16
390 68598 1.18
400 70319 1.19
410 72141 1.17
420 73618 1.14
430 75330 1.17
440 77100 1.15
450 78958 1.1
460 80793 1.15
470 82392 1.07
480 84126 1.07
490 85894 1.06
500 87768 1.1
510 89602 1.1
